City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Pacifica,US,87.06,fog,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
4,Valverde Del Camino,ES,76.03,clear sky,37.5751,-6.7543,HOTEL MONTEAROMA (ulamde hotelera S.L.)
6,Puerto Ayora,EC,70.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
7,Rikitea,PF,73.78,light rain,-23.1203,-134.9692,People ThankYou
11,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
12,Butaritari,KI,82.13,light rain,3.0707,172.7902,Isles Sunset Lodge
13,Locri,IT,70.32,clear sky,38.2414,16.2623,Grand Hotel President
14,Victoria,HK,89.65,broken clouds,22.2855,114.1577,Mini Central
15,Komsomolskiy,UZ,79.52,scattered clouds,40.4272,71.7189,Ikathouse
19,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
23,Sibi,PK,90.45,overcast clouds,29.5448,67.8764,Gishkori House Sibi
26,Boa Vista,BR,78.78,light rain,2.8197,-60.6733,Aipana Plaza Hotel
27,Touros,BR,74.52,clear sky,-5.1989,-35.4608,INN NEW HORIZON
30,Rajapur,IN,93.16,clear sky,25.3833,81.15,Sahu Ji Galla Mills
31,Zhangjiakou,CN,77.04,overcast clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
32,Champerico,GT,81.86,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
34,Sao Filipe,CV,73.71,clear sky,14.8961,-24.4956,Hotel Xaguate
38,Arraial Do Cabo,BR,70.45,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
39,Meulaboh,ID,79.34,overcast clouds,4.1363,96.1285,Kost Pria
40,Bubaque,GW,79.7,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
44,Kapaa,US,84.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
47,Seminole,US,80.28,clear sky,28.7086,-81.2081,The Oviedo Lodge Motel
48,Harper,LR,74.5,scattered clouds,4.375,-7.7169,Screensaver
52,Kampot,KH,75.25,overcast clouds,10.6167,104.1833,Two Moons Hotel
56,San Patricio,US,90.18,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
60,Cockburn Town,TC,81.5,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
63,Hilo,US,86.29,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
70,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
72,Atambua,ID,79.16,broken clouds,-9.1061,124.8925,Kost Alfa Flat
74,Atuona,PF,76.87,scattered clouds,-9.8,-139.0333,Villa Enata
77,Tezu,IN,84.52,overcast clouds,27.9167,96.1667,Circuit House
79,Zhengjiatun,CN,79.32,clear sky,43.5064,123.5064,Siping Hexiang Hotel
81,Wuzhou,CN,87.58,clear sky,23.4833,111.3167,Wuzhou Hostel
84,Bobrov,RU,70.36,overcast clouds,51.0961,40.0333,Hotel Bobrov
88,Gizo,SB,83.21,overcast clouds,-8.103,156.8419,Imagination Island
91,Ambon,ID,79.23,moderate rain,-3.6954,128.1814,Swiss-Belhotel Ambon
94,Georgetown,MY,84.15,thunderstorm,5.4112,100.3354,Cititel Penang
95,Ascension,US,81.07,clear sky,30.2169,-90.9001,Highland Inn
96,Kachug,RU,71.91,scattered clouds,53.9606,105.8817,"The hotel ""Empire"""
