City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Elizabeth,ZA,-33.918,25.5701,54.32,87,20,13.0,few clouds
1,Busselton,AU,-33.65,115.3333,57.54,64,81,6.17,broken clouds
2,Northam,GB,51.0333,-4.2167,61.39,88,0,5.55,clear sky
3,Pacifica,US,37.6138,-122.4869,87.06,87,20,14.97,fog
4,Valverde Del Camino,ES,37.5751,-6.7543,76.03,33,0,4.25,clear sky
5,Henties Bay,NA,-22.116,14.2845,53.8,89,0,9.35,clear sky
6,Puerto Ayora,EC,-0.7393,-90.3518,70.56,93,34,5.99,scattered clouds
7,Rikitea,PF,-23.1203,-134.9692,73.78,77,0,6.71,light rain
8,Mataura,NZ,-46.1927,168.8643,44.44,65,100,4.63,overcast clouds
9,Beloha,MG,-25.1667,45.05,60.57,71,0,6.11,clear sky
10,Ushuaia,AR,-54.8,-68.3,28.06,80,0,8.05,clear sky
11,Acapulco,MX,16.8634,-99.8901,84.02,84,75,4.61,broken clouds
12,Butaritari,KI,3.0707,172.7902,82.13,80,42,17.74,light rain
13,Locri,IT,38.2414,16.2623,70.32,68,0,7.58,clear sky
14,Victoria,HK,22.2855,114.1577,89.65,74,73,8.99,broken clouds
15,Komsomolskiy,UZ,40.4272,71.7189,79.52,29,44,6.91,scattered clouds
16,Dikson,RU,73.5069,80.5464,38.46,90,100,4.29,overcast clouds
17,Carnarvon,AU,-24.8667,113.6333,63.97,56,0,19.19,clear sky
18,Narsaq,GL,60.9167,-46.05,46.62,82,25,1.12,scattered clouds
19,Vaini,TO,-21.2,-175.2,78.96,78,40,11.5,scattered clouds
20,Clyde River,CA,70.4692,-68.5914,41.23,81,100,4.61,overcast clouds
21,Airai,TL,-8.9266,125.4092,65.26,71,88,3.67,overcast clouds
22,Port Alfred,ZA,-33.5906,26.891,58.57,72,47,23.6,scattered clouds
23,Sibi,PK,29.5448,67.8764,90.45,57,99,1.03,overcast clouds
24,Saint-Philippe,RE,-21.3585,55.7679,63.99,78,46,14.03,scattered clouds
25,Mildura,AU,-34.2,142.15,55.08,64,13,12.39,few clouds
26,Boa Vista,BR,2.8197,-60.6733,78.78,83,75,3.44,light rain
27,Touros,BR,-5.1989,-35.4608,74.52,87,7,13.09,clear sky
28,Deep River,CA,46.1001,-77.4995,61.88,66,37,4.63,scattered clouds
29,Ribeira Grande,PT,38.5167,-28.7,66.92,77,17,4.56,few clouds
30,Rajapur,IN,25.3833,81.15,93.16,47,10,12.06,clear sky
31,Zhangjiakou,CN,40.81,114.8794,77.04,52,100,4.21,overcast clouds
32,Champerico,GT,14.3,-91.9167,81.86,79,100,6.44,overcast clouds
33,Esperance,AU,-33.8667,121.9,58.96,63,83,6.44,broken clouds
34,Sao Filipe,CV,14.8961,-24.4956,73.71,85,10,7.45,clear sky
